# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	8.091285e+03	-7.133476e+03	1.522476e+04	2.235824e+04	-1.045157e+03	2.340340e+04	-1.222428e+04	-1.117912e+04	4.045643e+03	1.790235e-16	4.045643e+03	-4.045643e+03
2             	8.963107e+02	-6.343740e+02	1.530685e+03	2.165059e+03	5.430660e+02	1.621993e+03	-5.394633e+02	-1.082529e+03	4.481554e+02	1.942861e-18	4.481554e+02	-4.481554e+02
3             	1.366492e+02	-8.144494e+01	2.180942e+02	2.995391e+02	2.742858e+02	2.525332e+01	1.245162e+02	-1.497696e+02	6.832461e+01	-3.420547e-18	6.832461e+01	-6.832461e+01
4             	9.106200e+01	-1.126385e+02	2.037005e+02	3.163389e+02	2.055848e+02	1.107541e+02	4.741532e+01	-1.581695e+02	4.553100e+01	-2.159399e-18	4.553100e+01	-4.553100e+01
5             	9.118975e+01	-1.591111e+02	2.503009e+02	4.094120e+02	2.072976e+02	2.021144e+02	2.591589e+00	-2.047060e+02	4.559487e+01	-1.811998e-18	4.559487e+01	-4.559487e+01
6             	9.258780e+01	-1.925529e+02	2.851407e+02	4.776936e+02	2.133992e+02	2.642945e+02	-2.544763e+01	-2.388468e+02	4.629390e+01	-1.522686e-18	4.629390e+01	-4.629390e+01
7             	9.368737e+01	-2.205323e+02	3.142197e+02	5.347520e+02	2.177169e+02	3.170351e+02	-4.965912e+01	-2.673760e+02	4.684369e+01	-1.205766e-18	4.684369e+01	-4.684369e+01
8             	9.474935e+01	-2.455251e+02	3.402744e+02	5.857995e+02	2.209634e+02	3.648361e+02	-7.193635e+01	-2.928998e+02	4.737468e+01	-8.759523e-19	4.737468e+01	-4.737468e+01
9             	9.580035e+01	-2.682149e+02	3.640153e+02	6.322302e+02	2.236270e+02	4.086031e+02	-9.248803e+01	-3.161151e+02	4.790017e+01	-5.564596e-19	4.790017e+01	-4.790017e+01
10            	9.680697e+01	-2.890057e+02	3.858127e+02	6.748184e+02	2.259427e+02	4.488757e+02	-1.114665e+02	-3.374092e+02	4.840349e+01	-2.661023e-19	4.840349e+01	-4.840349e+01
11            	9.770647e+01	-3.081411e+02	4.058476e+02	7.139887e+02	2.280147e+02	4.859739e+02	-1.289796e+02	-3.569943e+02	4.885324e+01	-9.537297e-21	4.885324e+01	-4.885324e+01
12            	9.846398e+01	-3.257881e+02	4.242520e+02	7.500401e+02	2.298853e+02	5.201548e+02	-1.451348e+02	-3.750201e+02	4.923199e+01	2.187548e-19	4.923199e+01	-4.923199e+01
13            	9.906852e+01	-3.420614e+02	4.411300e+02	7.831914e+02	2.315777e+02	5.516137e+02	-1.600180e+02	-3.915957e+02	4.953426e+01	4.262460e-19	4.953426e+01	-4.953426e+01
14            	9.953666e+01	-3.570729e+02	4.566095e+02	8.136824e+02	2.331151e+02	5.805673e+02	-1.737261e+02	-4.068412e+02	4.976833e+01	6.184329e-19	4.976833e+01	-4.976833e+01
15            	9.988019e+01	-3.709388e+02	4.708190e+02	8.417579e+02	2.345259e+02	6.072320e+02	-1.863531e+02	-4.208789e+02	4.994010e+01	7.956880e-19	4.994010e+01	-4.994010e+01
16            	1.001060e+02	-3.837791e+02	4.838851e+02	8.676642e+02	2.358424e+02	6.318219e+02	-1.979898e+02	-4.338321e+02	5.005298e+01	9.552252e-19	5.005298e+01	-5.005298e+01
17            	1.002330e+02	-3.957061e+02	4.959391e+02	8.916452e+02	2.370999e+02	6.545453e+02	-2.087227e+02	-4.458226e+02	5.011652e+01	1.097821e-18	5.011652e+01	-5.011652e+01
18            	1.002832e+02	-4.068074e+02	5.070906e+02	9.138980e+02	2.383285e+02	6.755696e+02	-2.186206e+02	-4.569490e+02	5.014161e+01	1.226474e-18	5.014161e+01	-5.014161e+01
19            	1.004445e+02	-4.168153e+02	5.172597e+02	9.340750e+02	2.399040e+02	6.941710e+02	-2.271335e+02	-4.670375e+02	5.022224e+01	1.353557e-18	5.022224e+01	-5.022224e+01
20            	1.002564e+02	-4.269809e+02	5.272373e+02	9.542182e+02	2.409507e+02	7.132676e+02	-2.361584e+02	-4.771091e+02	5.012818e+01	1.455248e-18	5.012818e+01	-5.012818e+01
21            	1.002987e+02	-4.358784e+02	5.361771e+02	9.720555e+02	2.425208e+02	7.295347e+02	-2.435070e+02	-4.860277e+02	5.014934e+01	1.560806e-18	5.014934e+01	-5.014934e+01
22            	1.000359e+02	-4.449016e+02	5.449375e+02	9.898391e+02	2.437565e+02	7.460826e+02	-2.511630e+02	-4.949195e+02	5.001794e+01	1.646369e-18	5.001794e+01	-5.001794e+01
23            	1.000117e+02	-4.528620e+02	5.528737e+02	1.005736e+03	2.455030e+02	7.602327e+02	-2.573648e+02	-5.028679e+02	5.000585e+01	1.740243e-18	5.000585e+01	-5.000585e+01
24            	9.967649e+01	-4.609370e+02	5.606135e+02	1.021551e+03	2.470284e+02	7.745221e+02	-2.637468e+02	-5.107753e+02	4.983824e+01	1.815696e-18	4.983824e+01	-4.983824e+01
25            	9.940221e+01	-4.683124e+02	5.677146e+02	1.036027e+03	2.488154e+02	7.872116e+02	-2.691981e+02	-5.180135e+02	4.970111e+01	1.895567e-18	4.970111e+01	-4.970111e+01
26            	9.911952e+01	-4.752761e+02	5.743956e+02	1.049672e+03	2.507958e+02	7.988759e+02	-2.740401e+02	-5.248359e+02	4.955976e+01	1.967911e-18	4.955976e+01	-4.955976e+01
27            	9.881151e+01	-4.819015e+02	5.807130e+02	1.062614e+03	2.529537e+02	8.096608e+02	-2.783535e+02	-5.313072e+02	4.940576e+01	2.040900e-18	4.940576e+01	-4.940576e+01
28            	9.846040e+01	-4.882016e+02	5.866620e+02	1.074864e+03	2.552736e+02	8.195899e+02	-2.821582e+02	-5.374318e+02	4.923020e+01	2.108893e-18	4.923020e+01	-4.923020e+01
29            	9.808516e+01	-4.942048e+02	5.922900e+02	1.086495e+03	2.577667e+02	8.287281e+02	-2.854807e+02	-5.432474e+02	4.904258e+01	2.176741e-18	4.904258e+01	-4.904258e+01
