# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	4.315913e+03	2.157232e+03	2.158681e+03	1.448832e+00	-3.208811e-02	1.480920e+00	-7.565042e-01	-7.244161e-01	2.157956e+03	8.203419e-18	2.157956e+03	-2.157956e+03
2             	5.419114e+02	2.523347e+02	2.895767e+02	3.724202e+01	1.846444e+02	-1.474024e+02	1.660234e+02	-1.862101e+01	2.709557e+02	-1.322924e-18	2.709557e+02	-2.709557e+02
3             	9.395355e+01	6.745481e+01	2.649874e+01	-4.095608e+01	2.541551e+01	-6.637159e+01	4.589355e+01	2.047804e+01	4.697678e+01	-1.251150e-18	4.697678e+01	-4.697678e+01
4             	5.683202e+01	2.721989e+01	2.961213e+01	2.392236e+00	-2.358837e+00	4.751073e+00	-3.554955e+00	-1.196118e+00	2.841601e+01	-9.918724e-19	2.841601e+01	-2.841601e+01
5             	5.027338e+01	1.745738e+01	3.281600e+01	1.535861e+01	-8.797757e-01	1.623839e+01	-8.559083e+00	-7.679307e+00	2.513669e+01	-1.002019e-18	2.513669e+01	-2.513669e+01
6             	4.600323e+01	1.428659e+01	3.171665e+01	1.743006e+01	4.149653e-01	1.701509e+01	-8.300064e+00	-8.715030e+00	2.300162e+01	-1.018144e-18	2.300162e+01	-2.300162e+01
7             	4.220342e+01	1.238395e+01	2.981947e+01	1.743552e+01	6.230225e-01	1.681250e+01	-8.094739e+00	-8.717762e+00	2.110171e+01	-1.010757e-18	2.110171e+01	-2.110171e+01
8             	3.917370e+01	1.102120e+01	2.815250e+01	1.713130e+01	5.598746e-01	1.657142e+01	-8.005775e+00	-8.565649e+00	1.958685e+01	-9.985799e-19	1.958685e+01	-1.958685e+01
9             	3.683411e+01	1.000941e+01	2.682470e+01	1.681529e+01	4.749341e-01	1.634036e+01	-7.932711e+00	-8.407645e+00	1.841706e+01	-9.920825e-19	1.841706e+01	-1.841706e+01
10            	3.497670e+01	9.225907e+00	2.575079e+01	1.652489e+01	4.099439e-01	1.611494e+01	-7.852499e+00	-8.262443e+00	1.748835e+01	-9.915482e-19	1.748835e+01	-1.748835e+01
11            	3.344617e+01	8.600305e+00	2.484586e+01	1.624556e+01	3.639877e-01	1.588157e+01	-7.758792e+00	-8.122779e+00	1.672308e+01	-9.934225e-19	1.672308e+01	-1.672308e+01
12            	3.213995e+01	8.082235e+00	2.405771e+01	1.597548e+01	3.312769e-01	1.564420e+01	-7.656463e+00	-7.987739e+00	1.606997e+01	-9.961049e-19	1.606997e+01	-1.606997e+01
13            	3.099616e+01	7.637579e+00	2.335858e+01	1.572100e+01	3.157170e-01	1.540528e+01	-7.544783e+00	-7.860500e+00	1.549808e+01	-9.990459e-19	1.549808e+01	-1.549808e+01
