# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1              2.643496e+03 8.874097e-01 -5.024594e-18 2.484066e+03 8.868714e-01 -8.720722e-18 1.594305e+02 5.382214e-04 3.696128e-18
2              3.319207e+02 2.281074e+01 8.102908e-19 2.710297e+02 2.277759e+01 1.733790e-18 6.089105e+01 3.314906e-02 -9.234995e-19
3              5.754655e+01 -2.508560e+01 7.663294e-19 1.306788e+01 -2.506927e+01 1.023449e-18 4.447867e+01 -1.632254e-02 -2.571195e-19
4              3.480961e+01 1.465244e+00 6.075218e-19 -5.211476e-01 1.466188e+00 7.362580e-19 3.533076e+01 -9.439324e-04 -1.287362e-19
5              3.079245e+01 9.407152e+00 6.137365e-19 1.266380e+00 9.406455e+00 7.323467e-19 2.952607e+01 6.962222e-04 -1.186102e-19
6              2.817698e+01 1.067591e+01 6.236133e-19 2.514067e+00 1.067428e+01 7.582517e-19 2.566291e+01 1.627061e-03 -1.346384e-19
7              2.584959e+01 1.067926e+01 6.190887e-19 2.934576e+00 1.067709e+01 7.646348e-19 2.291502e+01 2.164809e-03 -1.455461e-19
8              2.399389e+01 1.049292e+01 6.116302e-19 3.147408e+00 1.049060e+01 7.611148e-19 2.084649e+01 2.320431e-03 -1.494846e-19
9              2.256089e+01 1.029937e+01 6.076506e-19 3.337453e+00 1.029694e+01 7.584555e-19 1.922344e+01 2.425102e-03 -1.508050e-19
10             2.142323e+01 1.012149e+01 6.073233e-19 3.513983e+00 1.011900e+01 7.592152e-19 1.790925e+01 2.495771e-03 -1.518920e-19
11             2.048578e+01 9.950405e+00 6.084713e-19 3.663333e+00 9.947898e+00 7.615754e-19 1.682245e+01 2.506241e-03 -1.531042e-19
12             1.968572e+01 9.784981e+00 6.101142e-19 3.779137e+00 9.782438e+00 7.645170e-19 1.590658e+01 2.542897e-03 -1.544028e-19
