# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1              -9.969714e-01 1.337309e+03 1.384616e+00 -9.968414e-01 1.180046e+03 1.383950e+00 -1.299222e-04 1.572631e+02 6.656212e-04
2              -4.679305e+00 1.978219e+02 -1.015474e+02 -4.675050e+00 1.279633e+02 -1.015431e+02 -4.255464e-03 6.985860e+01 -4.338607e-03
3              1.105632e+01 5.451925e+01 -2.611227e+01 1.105560e+01 6.290674e+00 -2.611712e+01 7.194249e-04 4.822857e+01 4.848323e-03
4              -1.740282e-01 3.634260e+01 1.831409e+00 -1.730602e-01 -8.225339e-01 1.829820e+00 -9.680505e-04 3.716513e+01 1.589150e-03
5              -4.459946e+00 3.084468e+01 5.519146e+00 -4.459144e+00 3.308394e-01 5.517784e+00 -8.026975e-04 3.051384e+01 1.361821e-03
6              -5.260161e+00 2.727588e+01 5.432274e+00 -5.259319e+00 1.120570e+00 5.430717e+00 -8.416493e-04 2.615531e+01 1.556668e-03
7              -5.150475e+00 2.449340e+01 4.945921e+00 -5.149604e+00 1.486497e+00 4.944193e+00 -8.709167e-04 2.300690e+01 1.727664e-03
8              -5.031818e+00 2.226056e+01 4.807682e+00 -5.030930e+00 1.616839e+00 4.805869e+00 -8.871041e-04 2.064373e+01 1.813105e-03
9              -4.912962e+00 2.048919e+01 4.729336e+00 -4.912046e+00 1.702201e+00 4.727414e+00 -9.164218e-04 1.878699e+01 1.921811e-03
10             -4.803786e+00 1.905623e+01 4.653632e+00 -4.802849e+00 1.776254e+00 4.651610e+00 -9.377083e-04 1.727997e+01 2.022417e-03
11             -4.698230e+00 1.786370e+01 4.569047e+00 -4.697280e+00 1.837505e+00 4.566942e+00 -9.495797e-04 1.602620e+01 2.105159e-03
12             -4.595294e+00 1.684588e+01 4.475083e+00 -4.594343e+00 1.882971e+00 4.472903e+00 -9.506787e-04 1.496290e+01 2.179793e-03
13             -4.493834e+00 1.596046e+01 4.370387e+00 -4.492903e+00 1.913213e+00 4.368160e+00 -9.318330e-04 1.404725e+01 2.226732e-03
14             -4.396391e+00 1.517699e+01 4.255090e+00 -4.395491e+00 1.928209e+00 4.252830e+00 -8.997401e-04 1.324878e+01 2.259270e-03
15             -4.297574e+00 1.447333e+01 4.126167e+00 -4.296724e+00 1.928114e+00 4.123898e+00 -8.501149e-04 1.254521e+01 2.268878e-03
16             -4.198568e+00 1.383364e+01 3.983858e+00 -4.197780e+00 1.913870e+00 3.981592e+00 -7.876738e-04 1.191977e+01 2.265949e-03
17             -4.098561e+00 1.324721e+01 3.827706e+00 -4.097854e+00 1.887665e+00 3.825466e+00 -7.066881e-04 1.135955e+01 2.239679e-03
18             -3.709754e+00 1.272588e+01 3.351719e+00 -3.709142e+00 1.853101e+00 3.349519e+00 -6.115042e-04 1.087278e+01 2.199589e-03
19             -3.532728e+00 1.223584e+01 3.082190e+00 -3.532218e+00 1.807800e+00 3.080035e+00 -5.096684e-04 1.042804e+01 2.155307e-03
20             -3.396893e+00 1.177501e+01 2.835341e+00 -3.396499e+00 1.754058e+00 2.833246e+00 -3.939201e-04 1.002095e+01 2.094644e-03
21             -3.265784e+00 1.133875e+01 2.582554e+00 -3.265517e+00 1.691778e+00 2.580528e+00 -2.672467e-04 9.646975e+00 2.025251e-03
22             -3.126951e+00 1.092455e+01 2.317832e+00 -3.126822e+00 1.622277e+00 2.315881e+00 -1.298560e-04 9.302269e+00 1.950654e-03
23             -2.980573e+00 1.052885e+01 2.042442e+00 -2.980591e+00 1.545289e+00 2.040568e+00 1.763093e-05 8.983561e+00 1.874120e-03
24             -2.830245e+00 1.014960e+01 1.760828e+00 -2.830419e+00 1.461529e+00 1.759030e+00 1.735507e-04 8.688068e+00 1.798130e-03
25             -2.676625e+00 9.788607e+00 1.475169e+00 -2.676960e+00 1.375206e+00 1.473443e+00 3.351069e-04 8.413401e+00 1.725491e-03
26             -2.519866e+00 9.442862e+00 1.188661e+00 -2.520363e+00 1.285356e+00 1.186999e+00 4.978024e-04 8.157506e+00 1.661574e-03
27             -2.361138e+00 9.111239e+00 9.046582e-01 -2.361797e+00 1.192613e+00 9.030501e-01 6.590869e-04 7.918626e+00 1.608099e-03
28             -2.201756e+00 8.795131e+00 6.265762e-01 -2.202574e+00 1.099887e+00 6.250107e-01 8.175954e-04 7.695244e+00 1.565455e-03
29             -2.043012e+00 8.493912e+00 3.569553e-01 -2.043982e+00 1.007890e+00 3.554161e-01 9.700512e-04 7.486022e+00 1.539216e-03
30             -1.887334e+00 8.207457e+00 1.003808e-01 -1.888453e+00 9.176306e-01 9.885730e-02 1.119609e-03 7.289827e+00 1.523492e-03
31             -1.737755e+00 7.936187e+00 -1.385904e-01 -1.739014e+00 8.305164e-01 -1.401254e-01 1.258819e-03 7.105670e+00 1.535010e-03
32             -1.593818e+00 7.680260e+00 -3.598827e-01 -1.595213e+00 7.475616e-01 -3.614444e-01 1.395509e-03 6.932698e+00 1.561718e-03
33             -1.458793e+00 7.439433e+00 -5.584364e-01 -1.460324e+00 6.692372e-01 -5.600435e-01 1.530715e-03 6.770196e+00 1.607110e-03
34             -1.333385e+00 7.214347e+00 -7.332059e-01 -1.335052e+00 5.967934e-01 -7.348803e-01 1.666473e-03 6.617554e+00 1.674371e-03
35             -1.218621e+00 7.004983e+00 -8.827390e-01 -1.220429e+00 5.307140e-01 -8.845010e-01 1.807276e-03 6.474269e+00 1.762034e-03
36             -1.116278e+00 6.811264e+00 -1.004714e+00 -1.118236e+00 4.713312e-01 -1.006580e+00 1.957854e-03 6.339932e+00 1.866312e-03
37             -1.025234e+00 6.633034e+00 -1.100614e+00 -1.027352e+00 4.188220e-01 -1.102602e+00 2.118693e-03 6.214212e+00 1.987684e-03
38             -9.461709e-01 6.470179e+00 -1.170440e+00 -9.484589e-01 3.733442e-01 -1.172565e+00 2.287948e-03 6.096835e+00 2.125325e-03
39             -8.800991e-01 6.322505e+00 -1.213390e+00 -8.825623e-01 3.349320e-01 -1.215663e+00 2.463144e-03 5.987573e+00 2.273648e-03
40             -8.249934e-01 6.189648e+00 -1.232576e+00 -8.276332e-01 3.034314e-01 -1.235003e+00 2.639737e-03 5.886217e+00 2.426540e-03
41             -7.800737e-01 6.071256e+00 -1.230850e+00 -7.828872e-01 2.786935e-01 -1.233424e+00 2.813585e-03 5.792562e+00 2.574618e-03
42             -7.443909e-01 5.966791e+00 -1.211249e+00 -7.473714e-01 2.604025e-01 -1.213957e+00 2.980557e-03 5.706389e+00 2.708631e-03
43             -7.151938e-01 5.875602e+00 -1.178199e+00 -7.183313e-01 2.481519e-01 -1.181018e+00 3.137496e-03 5.627450e+00 2.819651e-03
44             -6.892205e-01 5.797073e+00 -1.137028e+00 -6.925033e-01 2.416069e-01 -1.139927e+00 3.282862e-03 5.555466e+00 2.899239e-03
45             -6.691528e-01 5.730349e+00 -1.087118e+00 -6.725692e-01 2.402276e-01 -1.090058e+00 3.416459e-03 5.490121e+00 2.940766e-03
46             -6.522397e-01 5.674529e+00 -1.032892e+00 -6.557787e-01 2.434605e-01 -1.035832e+00 3.539013e-03 5.431068e+00 2.940381e-03
47             -6.362827e-01 5.628735e+00 -9.781087e-01 -6.399345e-01 2.508010e-01 -9.810055e-01 3.651730e-03 5.377934e+00 2.896828e-03
48             -6.208560e-01 5.592094e+00 -9.242836e-01 -6.246125e-01 2.617705e-01 -9.270942e-01 3.756427e-03 5.330324e+00 2.810625e-03
49             -6.052088e-01 5.563613e+00 -8.730125e-01 -6.090636e-01 2.757815e-01 -8.756972e-01 3.854762e-03 5.287832e+00 2.684695e-03
50             -5.904505e-01 5.542335e+00 -8.235404e-01 -5.943989e-01 2.922900e-01 -8.260635e-01 3.948351e-03 5.250045e+00 2.523077e-03
51             -5.748758e-01 5.527553e+00 -7.781035e-01 -5.789138e-01 3.110035e-01 -7.804353e-01 4.038077e-03 5.216549e+00 2.331757e-03
52             -5.610589e-01 5.518215e+00 -7.335395e-01 -5.651831e-01 3.312660e-01 -7.356570e-01 4.124225e-03 5.186949e+00 2.117499e-03
53             -5.492020e-01 5.513821e+00 -6.895525e-01 -5.534087e-01 3.529636e-01 -6.914399e-01 4.206712e-03 5.160858e+00 1.887443e-03
54             -5.399040e-01 5.513576e+00 -6.450052e-01 -5.441888e-01 3.756497e-01 -6.466541e-01 4.284815e-03 5.137926e+00 1.648906e-03
55             -5.346067e-01 5.516796e+00 -5.976986e-01 -5.389643e-01 3.989824e-01 -5.991076e-01 4.357635e-03 5.117813e+00 1.408931e-03
56             -5.345628e-01 5.522923e+00 -5.455963e-01 -5.389867e-01 4.226966e-01 -5.467703e-01 4.423854e-03 5.100227e+00 1.173965e-03
57             -5.405120e-01 5.531266e+00 -4.873192e-01 -5.449946e-01 4.464031e-01 -4.882689e-01 4.482558e-03 5.084863e+00 9.497611e-04
58             -5.531634e-01 5.541386e+00 -4.217462e-01 -5.576956e-01 4.698952e-01 -4.224872e-01 4.532147e-03 5.071491e+00 7.410234e-04
59             -5.730947e-01 5.552762e+00 -3.478568e-01 -5.776673e-01 4.929351e-01 -3.484084e-01 4.572616e-03 5.059827e+00 5.515232e-04
60             -5.995410e-01 5.565029e+00 -2.664100e-01 -6.041429e-01 5.153135e-01 -2.667937e-01 4.601924e-03 5.049716e+00 3.836886e-04
61             -6.330492e-01 5.577716e+00 -1.769444e-01 -6.376716e-01 5.368534e-01 -1.771836e-01 4.622302e-03 5.040863e+00 2.392399e-04
62             -6.722552e-01 5.590404e+00 -8.109441e-02 -6.768850e-01 5.571812e-01 -8.121313e-02 4.629807e-03 5.033223e+00 1.187218e-04
63             -7.166457e-01 5.602579e+00 2.002179e-02 -7.212765e-01 5.761534e-01 1.999986e-02 4.630800e-03 5.026426e+00 2.193323e-05
64             -7.644596e-01 5.614493e+00 1.240711e-01 -7.690784e-01 5.938775e-01 1.241229e-01 4.618795e-03 5.020616e+00 -5.183297e-05
65             -8.148182e-01 5.625482e+00 2.295150e-01 -8.194172e-01 6.102344e-01 2.296202e-01 4.599003e-03 5.015247e+00 -1.052914e-04
66             -8.664451e-01 5.635979e+00 3.345180e-01 -8.710177e-01 6.252261e-01 3.346565e-01 4.572657e-03 5.010753e+00 -1.384053e-04
67             -9.180014e-01 5.644939e+00 4.371787e-01 -9.225365e-01 6.386482e-01 4.373352e-01 4.535090e-03 5.006291e+00 -1.564360e-04
68             -9.677122e-01 5.653171e+00 5.348195e-01 -9.722089e-01 6.504590e-01 5.349778e-01 4.496777e-03 5.002712e+00 -1.583373e-04
69             -1.015278e+00 5.659071e+00 6.269518e-01 -1.019725e+00 6.603868e-01 6.271018e-01 4.446578e-03 4.998684e+00 -1.500068e-04
70             -1.059198e+00 5.664324e+00 7.114915e-01 -1.063598e+00 6.686994e-01 7.116217e-01 4.399568e-03 4.995625e+00 -1.302316e-04
71             -1.098738e+00 5.666810e+00 7.874770e-01 -1.103081e+00 6.751010e-01 7.875812e-01 4.342965e-03 4.991709e+00 -1.042634e-04
72             -1.133763e+00 5.668649e+00 8.548054e-01 -1.138054e+00 6.799491e-01 8.548760e-01 4.291696e-03 4.988700e+00 -7.059543e-05
73             -1.099827e+00 5.674935e+00 8.230400e-01 -1.104061e+00 6.900335e-01 8.230735e-01 4.233958e-03 4.984901e+00 -3.343645e-05
74             -1.118636e+00 5.674809e+00 8.629075e-01 -1.122815e+00 6.930269e-01 8.628992e-01 4.178973e-03 4.981782e+00 8.359491e-06
75             -1.146844e+00 5.671046e+00 9.133432e-01 -1.150961e+00 6.930570e-01 9.132900e-01 4.116356e-03 4.977989e+00 5.328080e-05
76             -1.171052e+00 5.666656e+00 9.566502e-01 -1.175114e+00 6.918505e-01 9.565499e-01 4.062099e-03 4.974805e+00 1.002934e-04
77             -1.190697e+00 5.660408e+00 9.921938e-01 -1.194696e+00 6.894338e-01 9.920431e-01 3.998620e-03 4.970974e+00 1.507081e-04
78             -1.206070e+00 5.654036e+00 1.020649e+00 -1.210012e+00 6.863157e-01 1.020446e+00 3.942734e-03 4.967721e+00 2.026214e-04
79             -1.217538e+00 5.646092e+00 1.042613e+00 -1.221417e+00 6.822725e-01 1.042355e+00 3.879085e-03 4.963820e+00 2.578951e-04
80             -1.225467e+00 5.638214e+00 1.058835e+00 -1.229289e+00 6.777576e-01 1.058522e+00 3.822216e-03 4.960456e+00 3.131344e-04
81             -1.230292e+00 5.629086e+00 1.069947e+00 -1.234051e+00 6.726405e-01 1.069574e+00 3.758912e-03 4.956446e+00 3.725230e-04
82             -1.232457e+00 5.620360e+00 1.076736e+00 -1.236159e+00 6.674254e-01 1.076306e+00 3.702338e-03 4.952934e+00 4.300240e-04
83             -1.232266e+00 5.610641e+00 1.079602e+00 -1.235905e+00 6.618583e-01 1.079109e+00 3.639398e-03 4.948783e+00 4.925928e-04
