# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
221            1.340331e+01 5.000113e+02 5.159501e-19 9.831407e+00 4.999303e+02 1.820581e-19 3.571899e+00 8.095289e-02 3.338920e-19
222            1.340916e+01 5.003731e+02 5.162973e-19 9.835777e+00 5.002935e+02 1.817787e-19 3.573378e+00 7.956595e-02 3.345186e-19
223            1.340054e+01 5.006396e+02 5.169579e-19 9.822256e+00 5.005597e+02 1.813514e-19 3.578284e+00 7.996051e-02 3.356066e-19
224            1.339909e+01 5.009383e+02 5.172611e-19 9.819224e+00 5.008597e+02 1.810771e-19 3.579865e+00 7.854965e-02 3.361840e-19
225            1.340206e+01 5.012262e+02 5.174754e-19 9.817206e+00 5.011474e+02 1.808171e-19 3.584858e+00 7.888658e-02 3.366583e-19
226            1.339710e+01 5.015054e+02 5.179859e-19 9.810741e+00 5.014279e+02 1.804745e-19 3.586355e+00 7.751092e-02 3.375114e-19
227            1.340022e+01 5.017845e+02 5.181923e-19 9.808937e+00 5.017066e+02 1.802120e-19 3.591287e+00 7.783453e-02 3.379803e-19
228            1.339827e+01 5.020660e+02 5.187137e-19 9.805531e+00 5.019895e+02 1.799072e-19 3.592734e+00 7.645779e-02 3.388065e-19
229            1.340128e+01 5.023397e+02 5.189052e-19 9.803650e+00 5.022629e+02 1.796552e-19 3.597634e+00 7.675487e-02 3.392500e-19
230            1.340059e+01 5.026258e+02 5.194523e-19 9.801624e+00 5.025504e+02 1.793726e-19 3.598967e+00 7.542857e-02 3.400798e-19
231            1.340641e+01 5.029127e+02 5.196704e-19 9.802554e+00 5.028370e+02 1.791617e-19 3.603853e+00 7.572773e-02 3.405086e-19
232            1.340248e+01 5.031924e+02 5.202095e-19 9.797513e+00 5.031180e+02 1.788454e-19 3.604966e+00 7.438545e-02 3.413640e-19
233            1.340781e+01 5.034812e+02 5.204158e-19 9.797972e+00 5.034064e+02 1.786327e-19 3.609834e+00 7.473995e-02 3.417832e-19
234            1.340519e+01 5.037712e+02 5.209727e-19 9.794491e+00 5.036978e+02 1.783435e-19 3.610695e+00 7.339746e-02 3.426293e-19
235            1.341052e+01 5.040651e+02 5.211806e-19 9.794858e+00 5.039914e+02 1.781345e-19 3.615666e+00 7.377494e-02 3.430460e-19
236            1.340747e+01 5.043608e+02 5.217624e-19 9.791087e+00 5.042884e+02 1.778282e-19 3.616384e+00 7.247397e-02 3.439342e-19
237            1.341145e+01 5.046514e+02 5.219117e-19 9.790143e+00 5.045786e+02 1.776220e-19 3.621307e+00 7.280204e-02 3.442896e-19
238            1.340790e+01 5.049488e+02 5.224986e-19 9.785945e+00 5.048773e+02 1.773173e-19 3.621960e+00 7.153061e-02 3.451814e-19
239            1.341146e+01 5.052431e+02 5.226693e-19 9.784648e+00 5.051712e+02 1.770969e-19 3.626810e+00 7.189523e-02 3.455724e-19
240            1.340668e+01 5.055354e+02 5.231994e-19 9.779310e+00 5.054648e+02 1.767923e-19 3.627370e+00 7.058964e-02 3.464071e-19
241            1.340986e+01 5.058301e+02 5.233729e-19 9.777791e+00 5.057591e+02 1.765732e-19 3.632072e+00 7.098381e-02 3.467997e-19
242            1.340476e+01 5.061224e+02 5.238934e-19 9.772097e+00 5.060527e+02 1.762661e-19 3.632666e+00 6.970390e-02 3.476273e-19
243            1.340736e+01 5.064161e+02 5.240591e-19 9.770140e+00 5.063460e+02 1.760418e-19 3.637220e+00 7.010817e-02 3.480172e-19
244            1.340220e+01 5.067094e+02 5.246030e-19 9.764349e+00 5.066405e+02 1.757143e-19 3.637853e+00 6.890776e-02 3.488887e-19
245            1.340383e+01 5.069978e+02 5.247433e-19 9.761556e+00 5.069286e+02 1.754805e-19 3.642272e+00 6.923440e-02 3.492629e-19
246            1.339801e+01 5.072834e+02 5.252383e-19 9.755106e+00 5.072153e+02 1.751581e-19 3.642907e+00 6.805998e-02 3.500803e-19
247            1.339972e+01 5.075703e+02 5.253855e-19 9.752558e+00 5.075019e+02 1.749302e-19 3.647161e+00 6.841554e-02 3.504553e-19
248            1.339401e+01 5.078544e+02 5.258797e-19 9.746182e+00 5.077871e+02 1.746081e-19 3.647826e+00 6.726105e-02 3.512716e-19
249            1.339560e+01 5.081393e+02 5.260225e-19 9.743629e+00 5.080716e+02 1.743797e-19 3.651967e+00 6.763458e-02 3.516428e-19
250            1.338984e+01 5.084211e+02 5.265139e-19 9.737243e+00 5.083547e+02 1.740564e-19 3.652592e+00 6.648984e-02 3.524575e-19
251            1.339140e+01 5.087037e+02 5.266525e-19 9.734706e+00 5.086368e+02 1.738277e-19 3.656698e+00 6.688411e-02 3.528248e-19
252            1.338560e+01 5.089830e+02 5.271411e-19 9.728351e+00 5.089173e+02 1.735045e-19 3.657248e+00 6.575039e-02 3.536366e-19
253            1.338724e+01 5.092631e+02 5.272764e-19 9.725891e+00 5.091969e+02 1.732767e-19 3.661346e+00 6.616301e-02 3.539997e-19
254            1.338174e+01 5.095413e+02 5.277951e-19 9.720008e+00 5.094762e+02 1.729421e-19 3.661730e+00 6.511411e-02 3.548530e-19
255            1.338294e+01 5.098141e+02 5.279102e-19 9.717070e+00 5.097487e+02 1.727108e-19 3.665873e+00 6.540354e-02 3.551994e-19
256            1.337672e+01 5.100837e+02 5.283829e-19 9.710751e+00 5.100194e+02 1.723852e-19 3.665973e+00 6.438619e-02 3.559977e-19
257            1.337877e+01 5.103548e+02 5.285081e-19 9.708461e+00 5.102901e+02 1.721658e-19 3.670312e+00 6.472170e-02 3.563423e-19
258            1.337258e+01 5.106226e+02 5.289802e-19 9.702514e+00 5.105589e+02 1.718471e-19 3.670064e+00 6.370479e-02 3.571331e-19
259            1.337496e+01 5.108916e+02 5.291062e-19 9.700442e+00 5.108276e+02 1.716320e-19 3.674519e+00 6.404120e-02 3.574743e-19
260            1.336878e+01 5.111573e+02 5.295724e-19 9.694645e+00 5.110943e+02 1.713171e-19 3.674137e+00 6.306198e-02 3.582553e-19
261            1.337130e+01 5.114241e+02 5.296976e-19 9.692697e+00 5.113607e+02 1.711055e-19 3.678600e+00 6.339202e-02 3.585922e-19
262            1.336513e+01 5.116874e+02 5.301580e-19 9.687025e+00 5.116250e+02 1.707947e-19 3.678100e+00 6.243644e-02 3.593632e-19
263            1.336782e+01 5.119518e+02 5.302813e-19 9.685202e+00 5.118890e+02 1.705870e-19 3.682615e+00 6.277575e-02 3.596944e-19
264            1.336163e+01 5.122127e+02 5.307359e-19 9.679626e+00 5.121509e+02 1.702803e-19 3.682003e+00 6.183893e-02 3.604556e-19
