# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
221            -2.500056e+02 6.701653e+00 1.148740e+02 -2.499652e+02 4.915704e+00 1.148180e+02 -4.047644e-02 1.785949e+00 5.595879e-02
222            -2.501865e+02 6.704578e+00 1.150133e+02 -2.501468e+02 4.917888e+00 1.149576e+02 -3.978298e-02 1.786689e+00 5.562314e-02
223            -2.503198e+02 6.700270e+00 1.151033e+02 -2.502798e+02 4.911128e+00 1.150480e+02 -3.998025e-02 1.789142e+00 5.531282e-02
224            -2.504691e+02 6.699544e+00 1.152130e+02 -2.504299e+02 4.909612e+00 1.151581e+02 -3.927482e-02 1.789932e+00 5.496200e-02
225            -2.506131e+02 6.701032e+00 1.153186e+02 -2.505737e+02 4.908603e+00 1.152640e+02 -3.944329e-02 1.792429e+00 5.461418e-02
226            -2.507527e+02 6.698548e+00 1.154218e+02 -2.507140e+02 4.905370e+00 1.153676e+02 -3.875546e-02 1.793178e+00 5.428445e-02
227            -2.508922e+02 6.700112e+00 1.155258e+02 -2.508533e+02 4.904468e+00 1.154719e+02 -3.891726e-02 1.795643e+00 5.393465e-02
228            -2.510330e+02 6.699133e+00 1.156309e+02 -2.509948e+02 4.902766e+00 1.155773e+02 -3.822890e-02 1.796367e+00 5.359607e-02
229            -2.511698e+02 6.700642e+00 1.157297e+02 -2.511315e+02 4.901825e+00 1.156764e+02 -3.837744e-02 1.798817e+00 5.322724e-02
230            -2.513129e+02 6.700296e+00 1.158361e+02 -2.512752e+02 4.900812e+00 1.157832e+02 -3.771428e-02 1.799484e+00 5.291712e-02
231            -2.514564e+02 6.703203e+00 1.159413e+02 -2.514185e+02 4.901277e+00 1.158888e+02 -3.786387e-02 1.801926e+00 5.255667e-02
232            -2.515962e+02 6.701239e+00 1.160421e+02 -2.515590e+02 4.898756e+00 1.159899e+02 -3.719273e-02 1.802483e+00 5.223504e-02
233            -2.517406e+02 6.703903e+00 1.161475e+02 -2.517032e+02 4.898986e+00 1.160956e+02 -3.736998e-02 1.804917e+00 5.189890e-02
234            -2.518856e+02 6.702593e+00 1.162536e+02 -2.518489e+02 4.897245e+00 1.162020e+02 -3.669873e-02 1.805347e+00 5.159439e-02
235            -2.520326e+02 6.705262e+00 1.163609e+02 -2.519957e+02 4.897429e+00 1.163096e+02 -3.688747e-02 1.807833e+00 5.125221e-02
236            -2.521804e+02 6.703736e+00 1.164714e+02 -2.521442e+02 4.895544e+00 1.164204e+02 -3.623698e-02 1.808192e+00 5.097362e-02
237            -2.523257e+02 6.705725e+00 1.165751e+02 -2.522893e+02 4.895071e+00 1.165245e+02 -3.640102e-02 1.810654e+00 5.059923e-02
238            -2.524744e+02 6.703952e+00 1.166859e+02 -2.524386e+02 4.892972e+00 1.166356e+02 -3.576530e-02 1.810980e+00 5.034074e-02
239            -2.526215e+02 6.705729e+00 1.167933e+02 -2.525856e+02 4.892324e+00 1.167433e+02 -3.594761e-02 1.813405e+00 4.999160e-02
240            -2.527677e+02 6.703340e+00 1.169000e+02 -2.527324e+02 4.889655e+00 1.168503e+02 -3.529482e-02 1.813685e+00 4.970211e-02
241            -2.529150e+02 6.704931e+00 1.170072e+02 -2.528795e+02 4.888896e+00 1.169578e+02 -3.549191e-02 1.816036e+00 4.937536e-02
242            -2.530612e+02 6.702381e+00 1.171137e+02 -2.530263e+02 4.886048e+00 1.170646e+02 -3.485195e-02 1.816333e+00 4.908815e-02
243            -2.532081e+02 6.703680e+00 1.172206e+02 -2.531730e+02 4.885070e+00 1.171718e+02 -3.505408e-02 1.818610e+00 4.876885e-02
244            -2.533547e+02 6.701101e+00 1.173306e+02 -2.533202e+02 4.882175e+00 1.172821e+02 -3.445388e-02 1.818927e+00 4.850727e-02
245            -2.534989e+02 6.701914e+00 1.174359e+02 -2.534643e+02 4.880778e+00 1.173878e+02 -3.461720e-02 1.821136e+00 4.817638e-02
246            -2.536417e+02 6.699006e+00 1.175401e+02 -2.536077e+02 4.877553e+00 1.174922e+02 -3.402999e-02 1.821454e+00 4.789437e-02
247            -2.537851e+02 6.699859e+00 1.176444e+02 -2.537509e+02 4.876279e+00 1.175968e+02 -3.420777e-02 1.823581e+00 4.758765e-02
248            -2.539272e+02 6.697004e+00 1.177480e+02 -2.538936e+02 4.873091e+00 1.177007e+02 -3.363053e-02 1.823913e+00 4.730890e-02
249            -2.540696e+02 6.697798e+00 1.178516e+02 -2.540358e+02 4.871814e+00 1.178046e+02 -3.381729e-02 1.825984e+00 4.700939e-02
250            -2.542106e+02 6.694918e+00 1.179544e+02 -2.541773e+02 4.868622e+00 1.179077e+02 -3.324492e-02 1.826296e+00 4.673454e-02
251            -2.543518e+02 6.695702e+00 1.180573e+02 -2.543184e+02 4.867353e+00 1.180108e+02 -3.344205e-02 1.828349e+00 4.643960e-02
252            -2.544915e+02 6.692800e+00 1.181592e+02 -2.544586e+02 4.864176e+00 1.181131e+02 -3.287519e-02 1.828624e+00 4.616961e-02
253            -2.546315e+02 6.693618e+00 1.182612e+02 -2.545985e+02 4.862945e+00 1.182154e+02 -3.308151e-02 1.830673e+00 4.587833e-02
254            -2.547707e+02 6.690869e+00 1.183664e+02 -2.547381e+02 4.860004e+00 1.183208e+02 -3.255705e-02 1.830865e+00 4.564216e-02
255            -2.549071e+02 6.691472e+00 1.184663e+02 -2.548744e+02 4.858535e+00 1.184210e+02 -3.270177e-02 1.832937e+00 4.533305e-02
256            -2.550419e+02 6.688362e+00 1.185649e+02 -2.550097e+02 4.855376e+00 1.185199e+02 -3.219310e-02 1.832986e+00 4.507940e-02
257            -2.551774e+02 6.689386e+00 1.186637e+02 -2.551450e+02 4.854231e+00 1.186189e+02 -3.236085e-02 1.835156e+00 4.478761e-02
258            -2.553113e+02 6.686289e+00 1.187617e+02 -2.552794e+02 4.851257e+00 1.187171e+02 -3.185239e-02 1.835032e+00 4.454699e-02
259            -2.554458e+02 6.687480e+00 1.188599e+02 -2.554138e+02 4.850221e+00 1.188156e+02 -3.202060e-02 1.837260e+00 4.425595e-02
260            -2.555787e+02 6.684391e+00 1.189572e+02 -2.555471e+02 4.847323e+00 1.189132e+02 -3.153099e-02 1.837069e+00 4.402360e-02
261            -2.557120e+02 6.685648e+00 1.190548e+02 -2.556803e+02 4.846349e+00 1.190110e+02 -3.169601e-02 1.839300e+00 4.373478e-02
262            -2.558437e+02 6.682563e+00 1.191515e+02 -2.558125e+02 4.843513e+00 1.191080e+02 -3.121822e-02 1.839050e+00 4.350943e-02
263            -2.559759e+02 6.683909e+00 1.192485e+02 -2.559445e+02 4.842601e+00 1.192052e+02 -3.138787e-02 1.841308e+00 4.322229e-02
264            -2.561063e+02 6.680815e+00 1.193446e+02 -2.560754e+02 4.839813e+00 1.193015e+02 -3.091946e-02 1.841002e+00 4.300352e-02
265            -2.562373e+02 6.682189e+00 1.194408e+02 -2.562062e+02 4.838943e+00 1.193981e+02 -3.108845e-02 1.843245e+00 4.271963e-02
266            -2.563664e+02 6.679123e+00 1.195362e+02 -2.563358e+02 4.836191e+00 1.194937e+02 -3.063302e-02 1.842932e+00 4.250522e-02
267            -2.564986e+02 6.681168e+00 1.196348e+02 -2.564678e+02 4.836024e+00 1.195926e+02 -3.080174e-02 1.845144e+00 4.222905e-02
268            -2.566249e+02 6.677586e+00 1.197274e+02 -2.565945e+02 4.832741e+00 1.196854e+02 -3.034925e-02 1.844845e+00 4.200563e-02
269            -2.567552e+02 6.679402e+00 1.198247e+02 -2.567247e+02 4.832458e+00 1.197830e+02 -3.051946e-02 1.846944e+00 4.174286e-02
270            -2.568801e+02 6.675903e+00 1.199164e+02 -2.568500e+02 4.829182e+00 1.198749e+02 -3.007917e-02 1.846721e+00 4.151974e-02
271            -2.570090e+02 6.677587e+00 1.200128e+02 -2.569787e+02 4.828894e+00 1.199715e+02 -3.025008e-02 1.848692e+00 4.126674e-02
272            -2.571324e+02 6.674166e+00 1.201036e+02 -2.571026e+02 4.825616e+00 1.200625e+02 -2.982064e-02 1.848550e+00 4.104328e-02
273            -2.572597e+02 6.675701e+00 1.201989e+02 -2.572297e+02 4.825308e+00 1.201581e+02 -2.998924e-02 1.850393e+00 4.079944e-02
274            -2.573816e+02 6.672368e+00 1.202886e+02 -2.573520e+02 4.822023e+00 1.202481e+02 -2.957189e-02 1.850346e+00 4.057517e-02
275            -2.575071e+02 6.673767e+00 1.203829e+02 -2.574774e+02 4.821697e+00 1.203425e+02 -2.974559e-02 1.852070e+00 4.034038e-02
276            -2.576274e+02 6.670441e+00 1.204714e+02 -2.575981e+02 4.818404e+00 1.204313e+02 -2.931931e-02 1.852038e+00 4.011743e-02
277            -2.577513e+02 6.671752e+00 1.205645e+02 -2.577217e+02 4.818063e+00 1.205246e+02 -2.950550e-02 1.853689e+00 3.989016e-02
278            -2.578698e+02 6.668468e+00 1.206519e+02 -2.578407e+02 4.814778e+00 1.206123e+02 -2.908139e-02 1.853690e+00 3.966838e-02
279            -2.579920e+02 6.669669e+00 1.207438e+02 -2.579627e+02 4.814442e+00 1.207044e+02 -2.926650e-02 1.855227e+00 3.944954e-02
280            -2.581090e+02 6.666496e+00 1.208302e+02 -2.580801e+02 4.811189e+00 1.207910e+02 -2.885255e-02 1.855307e+00 3.922737e-02
281            -2.582271e+02 6.666986e+00 1.209180e+02 -2.581980e+02 4.810265e+00 1.208790e+02 -2.904028e-02 1.856721e+00 3.901473e-02
282            -2.583439e+02 6.664356e+00 1.210053e+02 -2.583152e+02 4.807553e+00 1.209665e+02 -2.862823e-02 1.856803e+00 3.880532e-02
283            -2.584607e+02 6.665025e+00 1.210925e+02 -2.584319e+02 4.806782e+00 1.210539e+02 -2.883375e-02 1.858243e+00 3.859146e-02
284            -2.585759e+02 6.662308e+00 1.211787e+02 -2.585475e+02 4.804097e+00 1.211403e+02 -2.841046e-02 1.858211e+00 3.838929e-02
285            -2.586911e+02 6.663085e+00 1.212648e+02 -2.586625e+02 4.803353e+00 1.212266e+02 -2.862826e-02 1.859732e+00 3.817455e-02
286            -2.588047e+02 6.660321e+00 1.213499e+02 -2.587765e+02 4.800714e+00 1.213119e+02 -2.820876e-02 1.859607e+00 3.798024e-02
287            -2.589183e+02 6.661174e+00 1.214349e+02 -2.588899e+02 4.800013e+00 1.213972e+02 -2.842793e-02 1.861161e+00 3.776627e-02
288            -2.590303e+02 6.658413e+00 1.215190e+02 -2.590023e+02 4.797421e+00 1.214814e+02 -2.801632e-02 1.860992e+00 3.757763e-02
289            -2.591425e+02 6.659333e+00 1.216030e+02 -2.591142e+02 4.796772e+00 1.215657e+02 -2.823821e-02 1.862561e+00 3.736562e-02
290            -2.592529e+02 6.656567e+00 1.216861e+02 -2.592251e+02 4.794229e+00 1.216489e+02 -2.783015e-02 1.862338e+00 3.718271e-02
291            -2.593637e+02 6.657591e+00 1.217692e+02 -2.593356e+02 4.793648e+00 1.217323e+02 -2.805804e-02 1.863944e+00 3.697190e-02
292            -2.594726e+02 6.654809e+00 1.218514e+02 -2.594450e+02 4.791152e+00 1.218146e+02 -2.765244e-02 1.863657e+00 3.679506e-02
293            -2.595819e+02 6.655934e+00 1.219335e+02 -2.595541e+02 4.790619e+00 1.218970e+02 -2.788652e-02 1.865315e+00 3.658466e-02
294            -2.596895e+02 6.653091e+00 1.220147e+02 -2.596620e+02 4.788166e+00 1.219783e+02 -2.748151e-02 1.864926e+00 3.641572e-02
295            -2.597973e+02 6.654326e+00 1.220959e+02 -2.597696e+02 4.787680e+00 1.220597e+02 -2.771905e-02 1.866646e+00 3.620495e-02
296            -2.599035e+02 6.651432e+00 1.221762e+02 -2.598761e+02 4.785275e+00 1.221401e+02 -2.732022e-02 1.866157e+00 3.604430e-02
297            -2.600099e+02 6.652655e+00 1.222565e+02 -2.599824e+02 4.784833e+00 1.222207e+02 -2.754457e-02 1.867823e+00 3.583754e-02
298            -2.601146e+02 6.649881e+00 1.223358e+02 -2.600875e+02 4.782467e+00 1.223001e+02 -2.716748e-02 1.867414e+00 3.567737e-02
299            -2.602196e+02 6.650981e+00 1.224152e+02 -2.601923e+02 4.782053e+00 1.223797e+02 -2.738161e-02 1.868928e+00 3.547996e-02
300            -2.603230e+02 6.648318e+00 1.224935e+02 -2.602959e+02 4.779712e+00 1.224582e+02 -2.700850e-02 1.868606e+00 3.531800e-02
301            -2.604265e+02 6.649380e+00 1.225718e+02 -2.603993e+02 4.779321e+00 1.225367e+02 -2.723541e-02 1.870059e+00 3.512773e-02
302            -2.605284e+02 6.646739e+00 1.226492e+02 -2.605016e+02 4.777006e+00 1.226142e+02 -2.685434e-02 1.869734e+00 3.496731e-02
303            -2.606305e+02 6.647822e+00 1.227265e+02 -2.606034e+02 4.776634e+00 1.226918e+02 -2.709533e-02 1.871188e+00 3.478108e-02
304            -2.607314e+02 6.645293e+00 1.228061e+02 -2.607046e+02 4.774475e+00 1.227714e+02 -2.675934e-02 1.870818e+00 3.464565e-02
305            -2.608297e+02 6.646088e+00 1.228782e+02 -2.608028e+02 4.773760e+00 1.228437e+02 -2.694358e-02 1.872328e+00 3.442506e-02
306            -2.609293e+02 6.643637e+00 1.229565e+02 -2.609027e+02 4.771752e+00 1.229222e+02 -2.662253e-02 1.871885e+00 3.430884e-02
307            -2.610265e+02 6.644539e+00 1.230277e+02 -2.609997e+02 4.771142e+00 1.229936e+02 -2.680118e-02 1.873397e+00 3.409108e-02
308            -2.611249e+02 6.642141e+00 1.231051e+02 -2.610984e+02 4.769167e+00 1.230711e+02 -2.649697e-02 1.872973e+00 3.397770e-02
309            -2.612211e+02 6.643099e+00 1.231786e+02 -2.611945e+02 4.768683e+00 1.231448e+02 -2.663177e-02 1.874416e+00 3.378543e-02
310            -2.613159e+02 6.640416e+00 1.232509e+02 -2.612895e+02 4.766410e+00 1.232173e+02 -2.637180e-02 1.874006e+00 3.364075e-02
311            -2.614110e+02 6.641464e+00 1.233233e+02 -2.613844e+02 4.766082e+00 1.232898e+02 -2.651346e-02 1.875382e+00 3.346769e-02
312            -2.615047e+02 6.638882e+00 1.233948e+02 -2.614784e+02 4.763901e+00 1.233615e+02 -2.624680e-02 1.874981e+00 3.332469e-02
313            -2.615984e+02 6.639914e+00 1.234634e+02 -2.615719e+02 4.763569e+00 1.234303e+02 -2.643933e-02 1.876346e+00 3.313815e-02
314            -2.616931e+02 6.637600e+00 1.235380e+02 -2.616669e+02 4.761683e+00 1.235049e+02 -2.612702e-02 1.875917e+00 3.303016e-02
315            -2.617857e+02 6.638627e+00 1.236090e+02 -2.617594e+02 4.761289e+00 1.235761e+02 -2.630171e-02 1.877338e+00 3.285179e-02
316            -2.618766e+02 6.635794e+00 1.236787e+02 -2.618506e+02 4.759067e+00 1.236459e+02 -2.600935e-02 1.876727e+00 3.272103e-02
